nest.id,nest,area,sub_area,year,Clutch_size,no.nestlings,prop.hatched,no.fledged,prop.fledged,A2_nestling,B2_nestling,A1_nestling,Clutch_initiation_date,Clutch_initiation_day,Nestbox,cover
N0239,nest_20,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,04/06/2016,156,Yes,NA
N0240,nest_122,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,04/06/2016,156,Yes,NA
N0241,nest_R028,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,04/06/2016,156,No,4
N0242,nest_R029,6S,6SUT,2016,2,1,0.5,0,0,0,NA,NA,04/06/2016,156,No,4
N0243,nest_R031,6S,6SUT,2016,2,1,0.5,0,0,0,NA,NA,04/06/2016,156,No,4
N0244,nest_R149,4AS,4A2,2016,2,1,0.5,0,0,0,NA,NA,04/06/2016,156,No,3
N0245,nest_R150,4AS,4A2,2016,2,2,1,0,0,0,0,NA,04/06/2016,156,No,1
N0246,nest_R151,4AS,4A2,2016,2,1,0.5,0,0,0,NA,NA,04/06/2016,156,No,3
N0247,nest_R152,4BS,4B1,2016,2,2,1,0,0,0,0,NA,04/06/2016,156,No,2
N0248,nest_R153,6S,6SUT,2016,1,1,1,1,1,NA,NA,1,04/06/2016,156,No,4
N0249,nest_R154,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,04/06/2016,156,No,2
