nest.id,nest,area,year,no.eggs,no.nestlings,prop.hatched,no.fledged,prop.fledged,clutch_initiation_date,clutch_initiation_day,box,cover
N0271,R168,4A2,2016,2,1,0.5,0,0,07/06/2016,159,No,4
N0272,R169,G1E,2016,1,1,1,1,1,07/06/2016,159,No,3
N0273,R172,4B1,2016,1,1,1,0,0,07/06/2016,159,No,1
N0274,R035,6SMT,2016,1,1,1,0,0,08/06/2016,160,No,2
N0275,R170,4A2,2016,1,1,1,1,1,08/06/2016,160,No,4
N0276,R171,4B1,2016,1,0,0,NA,NA,08/06/2016,160,No,2
N0277,R173,4B1,2016,2,0,0,NA,NA,08/06/2016,160,No,4
N0278,R174,4A2,2016,1,1,1,1,1,08/06/2016,160,No,3
N0279,R175,G1E,2016,1,1,1,0,0,08/06/2016,160,No,2
N0280,R036,4A1,2016,1,1,1,0,0,09/06/2016,161,No,3
N0281,R037,4A1,2016,1,0,0,NA,NA,09/06/2016,161,No,3
N0282,R038,4A1,2016,1,1,1,0,0,09/06/2016,161,No,3
N0283,R039,4B2,2016,1,0,0,NA,NA,09/06/2016,161,No,4
N0284,R040,4B2,2016,1,0,0,NA,NA,09/06/2016,161,No,3
N0285,R041,6SMT,2016,1,1,1,0,0,09/06/2016,161,No,4
N0286,R176,4A2,2016,1,0,0,NA,NA,09/06/2016,161,No,3
N0287,R177,4B1,2016,1,0,0,NA,NA,09/06/2016,161,No,3
N0288,R042,4A1,2016,1,0,0,NA,NA,10/06/2016,162,No,4
N0289,R178,4A2,2016,1,0,0,NA,NA,10/06/2016,162,No,3
N0290,R179,6SUT,2016,1,1,1,0,0,10/06/2016,162,No,2
N0291,R043,4A1,2016,1,1,1,0,0,11/06/2016,163,No,1
N0292,R044,4B2,2016,1,1,1,0,0,11/06/2016,163,No,2
N0293,R180,4A2,2016,1,0,0,NA,NA,11/06/2016,163,No,2
N0294,R045,4B2,2016,1,1,1,1,1,12/06/2016,164,No,4
N0295,R046,4A1,2016,1,1,1,0,0,13/06/2016,165,No,3
N0296,R047,4A1,2016,1,0,0,NA,NA,13/06/2016,165,No,3
N0297,R182,4B1,2016,1,1,1,0,0,14/06/2016,166,No,4
N0298,R181,4B1,2016,1,1,1,1,1,15/06/2016,167,No,4
N0299,R185,4B1,2016,1,1,1,1,1,15/06/2016,167,No,2
N0300,R187,4B1,2016,1,1,1,1,1,17/06/2016,169,No,2
N0301,9,4A1,2016,1,1,1,1,1,18/06/2016,170,Yes,NA
N0302,R188,G1E,2016,2,2,1,1,0.5,18/06/2016,170,Yes,NA
N0303,R189,4B1,2016,1,0,0,NA,NA,22/06/2016,174,No,4
N0304,R190,4B1,2016,2,2,1,0,0,23/06/2016,175,No,NA
N0305,16,4A1,2016,1,1,1,1,1,26/06/2016,178,Yes,NA
N0306,52,4A2,2016,1,1,1,1,1,29/06/2016,181,Yes,NA
N0307,6,4A1,2015,1,1,1,1,1,23/05/2015,143,Yes,NA
N0308,57,4A2,2015,1,1,1,1,1,25/05/2015,145,Yes,NA
N0309,R01,G1E,2015,2,2,1,2,1,25/05/2015,145,No,NA
N0310,124,4B1,2015,1,1,1,1,1,25/05/2015,145,Yes,NA
N0311,302,4B2,2015,1,1,1,1,1,25/05/2015,145,Yes,NA
N0312,310,4B2,2015,1,1,1,1,1,25/05/2015,145,Yes,NA
N0313,187,6SMID,2015,1,1,1,1,1,25/05/2015,145,Yes,NA
N0314,196,6SUT,2015,2,2,1,2,1,26/05/2015,146,Yes,NA
N0315,179,6SMID,2015,2,2,1,1,0.5,27/05/2015,147,Yes,NA
